Wall time,Step,Value
1615403978.3639176,13340,6.434322357177734
1615403988.936461,13370,8.145098686218262
1615403991.804868,13380,8.500515937805176
1615404017.3494682,13440,8.430534362792969
1615404060.461186,13560,3.8560547828674316
1615404098.8706172,13670,3.0251500606536865
1615404114.07681,13710,3.63319730758667
1615404144.4199781,13800,8.005800247192383
1615404160.008275,13850,8.123725891113281
1615404163.696717,13860,7.911363124847412
1615404174.5657072,13890,5.600583553314209
1615404179.644064,13900,5.9766645431518555
1615404186.028296,13920,8.290194511413574
1615404189.6802092,13930,8.155163764953613
1615404269.4040968,14130,8.319926261901855
1615404272.6596634,14140,8.407059669494629
1615404277.0981617,14150,6.128798484802246
1615404293.394908,14200,8.784483909606934
1615404305.2216089,14230,3.965630292892456
1615404319.8876493,14270,8.06213665008545
1615404328.9309044,14290,5.987138748168945
1615404346.104049,14330,8.191967964172363
1615404350.7919612,14340,8.360922813415527
1615404360.6237524,14370,8.117208480834961
1615404377.1819549,14410,8.010811805725098
1615404382.2934856,14430,8.106517791748047
1615404431.050702,14570,8.245702743530273
1615404467.8113644,14660,5.923413276672363
1615404470.7376592,14670,8.25304889678955
1615404513.5480006,14780,8.379149436950684
1615404540.636085,14860,7.875690937042236
1615404543.4835892,14870,7.938421726226807
1615404555.8852787,14900,7.536015033721924
1615404561.295449,14920,7.9360857009887695
1615404563.8351707,14930,8.096508026123047
1615404591.3999414,15010,6.276736736297607
1615404594.4967134,15020,5.869246006011963
1615404597.7224865,15030,3.1321723461151123
1615404615.030682,15070,7.956409454345703
1615404622.7803984,15090,8.481935501098633
1615404629.5533588,15110,7.93299674987793
1615404656.617035,15190,8.361929893493652
1615404675.075973,15240,8.417515754699707
1615404679.4439335,15250,8.09400749206543
1615404689.0244257,15280,8.530577659606934
1615404712.4907482,15350,8.115273475646973
1615404751.0628662,15470,7.838749408721924
1615404772.5989587,15520,8.381203651428223
1615404776.9335501,15530,8.300697326660156
1615404784.0745099,15550,1.178002119064331
1615404787.5587952,15560,8.141777992248535
1615404808.857806,15620,8.146624565124512
1615404832.650617,15690,5.809084892272949
1615404835.4192874,15700,8.553003311157227
1615404863.6929486,15790,7.931379795074463
1615404876.176994,15830,7.929050445556641
1615404884.1528986,15850,7.232497692108154
1615404897.0995233,15890,8.005890846252441
1615404927.125021,15980,8.167654991149902
1615404951.3469346,16050,8.61202335357666
1615404955.106809,16060,8.47169303894043
1615404973.4943938,16110,8.768109321594238
1615404998.9691193,16190,8.337928771972656
1615405005.5338202,16210,8.407258987426758
1615405026.7218277,16280,8.664966583251953
1615405030.3707993,16290,8.099233627319336
1615405043.9853997,16330,8.240102767944336
1615405060.9970908,16380,5.272600173950195
1615405070.5757754,16410,7.901227951049805
1615405077.3800106,16430,8.199687957763672
1615405086.706957,16460,5.687180042266846
1615405095.4429774,16490,8.05829906463623
1615405108.063802,16530,8.46911907196045
1615405132.0575287,16610,0.3652956187725067
1615405157.7836263,16690,8.15195369720459
1615405164.0216076,16710,8.434995651245117
1615405170.80673,16730,3.486642599105835
1615405183.824005,16760,3.1661574840545654
1615405187.611293,16770,3.4077727794647217
1615405209.8678253,16830,8.238324165344238
1615405213.0463307,16840,7.500710964202881
1615405236.229294,16920,8.347606658935547
1615405247.8405068,16950,4.020275115966797
1615405251.150231,16960,8.137362480163574
1615405253.8443391,16970,8.314838409423828
1615405257.6019843,16980,8.270910263061523
1615405264.4947066,17000,8.358232498168945
